,POP10,HH10,POP20,HU20,HHPOP20,food_insecurity,edu_hsd,edu_gebach,edu_bach,no_internet,dial-up,broadband,lt75000,ge75000,le1.5_rm,gt1.5_rm,30-50pct_rb,gt50pct_rb,HHOCH18,cr_Less than $100,cr_$100 to $149,cr_$150 to $199,cr_$200 to $249,cr_$250 to $299,cr_$300 to $349,cr_$350 to $399,cr_$400 to $449,cr_$450 to $499,cr_$500 to $549,cr_$550 to $599,cr_$600 to $649,cr_$650 to $699,cr_$700 to $749,cr_$750 to $799,cr_$800 to $899,cr_$900 to $999,"cr_$1,000 to $1,249","cr_$1,250 to $1,499","cr_$1,500 to $1,999","cr_$2,000 to $2,499","cr_$2,500 to $2,999","cr_$3,000 to $3,499","cr_$3,500 or more","hv_Less than $10,000","hv_$10,000 to $14,999","hv_$15,000 to $19,999","hv_$20,000 to $24,999","hv_$25,000 to $29,999","hv_$30,000 to $34,999","hv_$35,000 to $39,999","hv_$40,000 to $49,999","hv_$50,000 to $59,999","hv_$60,000 to $69,999","hv_$70,000 to $79,999","hv_$80,000 to $89,999","hv_$90,000 to $99,999","hv_$100,000 to $124,999","hv_$125,000 to $149,999","hv_$150,000 to $174,999","hv_$175,000 to $199,999","hv_$200,000 to $249,999","hv_$250,000 to $299,999","hv_$300,000 to $399,999","hv_$400,000 to $499,999","hv_$500,000 to $749,999","hv_$750,000 to $999,999","hv_$1,000,000 to $1,499,999","hv_$1,500,000 to $1,999,999","hv_$2,000,000 or more",tot_hhds,fam_hhd,fb_Europe,fb_Asia,fb_Africa,fb_Oceania,fb_LatinAmerica,fb_NorthernAmerica,lang_Spanish,lang_Russian,lang_Chinese,lang_Vietnamese,lang_other asian or pi language,lang_other indo-euro language,lang_pop_leahh,total 5-17,total 5-17 in public school,mobility,Pov20,w_disability,Pop25+,"hhinc_Less than $10,000","hhinc_$10,000 to $14,999","hhinc_$15,000 to $19,999","hhinc_$20,000 to $24,999","hhinc_$25,000 to $29,999","hhinc_$30,000 to $34,999","hhinc_$35,000 to $39,999","hhinc_$40,000 to $44,999","hhinc_$45,000 to $49,999","hhinc_$50,000 to $59,999","hhinc_$60,000 to $74,999","hhinc_$75,000 to $99,999","hhinc_$100,000 to $124,999","hhinc_$125,000 to $149,999","hhinc_$150,000 to $199,999","hhinc_$200,000 or more",owner occ hu,tot occ hu acs,LifeExp,SVI
Brentwood-Darlington,12994,5107,13536,5355,13351,1454.292897,1176.088977,3231.84376,2097.403798,213.3771224,6.661504425,4919.981518,3056.891141,2144.823652,5147.465088,54.24970501,441.84,399.5066667,2132.605989,0,0,0,4.933333333,0,0,23,23,0,24.90666667,10,18.70417109,6.906666667,18.86666667,42.89333333,93.18171091,81.99466667,411.0386372,304.1466667,422.5513762,60.33333333,7,0,0,45.16,39,0,0,15,12,0,0,0.418453541,0,0,0,0,12.85866667,17.064,124.3333333,119,482.0742301,616.9737069,1426.138026,448.1544172,175.313024,70.35867446,0,0,19.89333333,5201.714793,3093.728152,362.2083825,1328.138346,23,143.0348988,791.5784911,29.39616655,663.797807,124.1864157,154.0192942,498.17745,184.1887189,17.19282943,1664.748025,2019.358527,1645.887346,1150.126695,1693.514507,1796.913213,10453.01231,207.9163382,105.064,191.7752094,200.8150402,128,150.6601586,141,239.6133333,294.1459882,604.0613154,793.8397581,637.8799911,579.198854,427.3378931,364.5872697,135.8196439,3623.739865,5201.714793,77.36542049,0.563484771
Bridgeton,725,467,928,679,928,70.27917798,19.6056338,323.0261569,236.2012072,0,6.535211268,402.3822938,233.4004024,175.5171026,408.917505,0,102.6961771,33.60965795,14.00402414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26961771,0,7.468812877,29.87525151,157.778672,13.07042254,8.402414487,0,0,0,0,0,0,15.87122736,0,0,5.601609658,25.20724346,0,0,0,0,0,0,0,10.26961771,4.668008048,37.34406439,10.26961771,46.68008048,26.14084507,0,0,0,0,408.917505,126.9698189,10.45774081,26.89133351,13.69466058,8.216796351,48.30480279,0,28.88328414,4.979876576,0,24.89938288,0,3.734907432,66.73034612,109.8062785,88.89079689,44.32090153,73.75452716,84.90689563,716.0724346,25.20724346,15.87122736,0,0,8.402414487,25.20724346,0,23.34004024,0,67.2193159,68.15291751,32.67605634,65.35211268,20.53923541,14.00402414,42.94567404,182.0523139,408.917505,NA,0.4964
Bridlemile,5149,2364,5866,2544,5836,428.9950853,176.1661576,2730.958745,1237.537507,94.90524829,7,2316.749652,1039.803653,1386.855148,2422.834572,3.824228029,164.5852819,263.0624086,1206.900385,0,21,51.22915651,0,34,0,0,0,0,0,0,0,13,5.335933691,10.67186738,65.68598131,83.03909902,156.7696866,192.8361277,20.33983423,34.7489493,15.00390054,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094161959,11.82812856,0,12,7,58.21854577,192.0821865,923.7847364,354.6482756,83.9509682,15.30331876,24.03144524,2426.6588,1499.810182,256.0692149,204.6890025,0,10.02548312,149.975117,40.95814047,105.2805885,70.36553677,28.36296499,0,19.58583992,10.05777004,233.6739361,951.5223184,781.0085936,431.1463408,546.5118815,634.9594338,4013.477147,139.0414177,111.6913701,41.95428408,46.44637969,17.18990782,183.9577,38.76591802,80.00561159,117.4142552,122.9293165,140.4074921,184.4964956,175.7643469,91.54655147,250.5837939,684.4639598,1693.941767,2426.6588,82.53775293,0.169605431
Brooklyn,3485,1854,3916,2022,3888,428.30501,229.1222848,1930.921459,1260.243339,88.73866334,3.726468222,1571.116619,891.4283976,829.9481744,1721.376572,0,194.6658851,107.8033507,427.1145502,0,0,34.45856798,0,0,0,0,0,0,0,0,0,6.304878049,1.030405405,33,70.90329749,112.0740292,349.6865797,232.4756098,131.7682927,16.4159292,0,0,0,0,0,0,0,0,0,0,0,0,3.726468222,0,0,0,40,0,0,0,1.236486486,33.34754626,151.3220145,143.7866561,270.8989697,14.37764092,37.67905405,0,0,1721.376572,759.6571461,26.75664898,56.16739978,1.920045045,10.03272941,63.61448105,20.09015977,23.15860218,0,27.7808217,0.613688481,9.819015699,0,61.37212806,418.1396034,328.7561988,337.7505978,315.7376197,307.8790481,3410.827242,53.16545456,22.31617056,66.33708279,42.82432432,54,21.15031352,28.00322436,61.81527313,20.31097561,140.8741047,380.631474,225.5082511,185.0979387,177.6755631,137.3085796,104.3578419,696.3748362,1721.376572,79.8,0.2403
Buckman,8472,4862,11151,7037,10674,1654.226749,155.3174686,5559.505756,3662.101804,471.0435444,0,5342.98666,3526.99629,2541.69429,5906.057947,162.6326336,1120.369067,1076.736944,567.2000557,0,11.65380439,46.07245156,63.2819271,34.50884583,5.072451559,122.5681382,52.80806142,41.32821497,114,13.87204095,14.77050611,134.0882917,81.61612284,117.7120921,179.6214661,267.4906792,943.0811676,1253.350592,1367.459108,300.4244906,21.51373183,13.00865764,0,21,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,35.67809505,13.33682373,129.5087837,83.4142634,298.8433147,120.6134023,18.44103393,0,0,6068.690581,1654.058567,292.3914747,146.3121204,45.45363582,12.90036787,109.9139824,31.75989873,31.66078865,13.00758397,0,0,20.58495011,22.63214753,100.8301248,401.1160868,373.3891626,1457.447428,1687.414837,1398.225104,9318.367256,480.0980744,275.3482926,180.586863,174.0687562,268.0360605,258.6945512,386.6659345,339.9414201,264.4889133,345.4858945,553.58153,889.1480232,399.9958132,600.2210568,226.1670341,426.1623627,741.8357168,6068.690581,NA,0.4551
Cathedral Park,3349,1703,4075,2125,4057,415.3145196,97.95763492,1784.995019,1224.9448,149.2593431,0,1756.571251,1075.184518,889.4864003,1949.833081,14.83783784,209.7860464,122.4088813,380.5269588,0,0,0,19.78378378,21.43243243,0,16.48648649,6.663277445,0,37.42298036,48.5252351,77.02654176,0,8.775175644,4.527510316,27.89432875,53.0227605,242.9479564,204.6630645,140.099329,58.62361379,7.37235116,0,0,0,0,0,0,0,0,0,0,0,0,1.561210454,0,0,0,9.067567568,10.05687204,87.9427177,65.63517607,81.41450853,266.4886796,234.1083393,122.7337291,95.11305223,0,0,0,1964.670918,805.4475263,28.54722968,65.19883982,0,0.884415584,147.9459901,22.09833585,80.75999268,0,0,0,21.48449319,0,128.6397204,334.0247968,293.2809615,342.9647487,606.6266768,564.0173879,3581.973774,60.44917837,68.31969574,140.0454563,67.24935122,85.57353973,42.97714144,5.308115543,92.4653996,142.0887349,198.5459341,172.1619712,178.1344794,225.5637904,203.2415188,168.0153516,114.5312601,974.1218526,1964.670918,74.70831643,0.354341582
Centennial,23651,8678,25413,8911,25084,3985.662292,2750.901305,2294.7959,1699.153226,1070.144968,12.52235278,6998.004987,5804.677749,2476.458688,8071.466735,209.6697021,1002.501715,1166.014252,5075.230209,0,47,75.27028999,0,12.52876712,13.24982307,68.09442935,40.36812009,4.033633164,128.537403,58.55646271,22.03287671,43,38.05632613,123.9541243,410.5437684,574.9592455,1015.998736,343.9082934,270.3293445,37.34776989,0,0,0,126.5724328,24,38.18235439,73.51544779,6.228090687,9,18.71483154,7,0.681177977,18.02704577,0,0,16.97603334,63.49263994,31.31181521,218.0134815,339.6355526,793.8613552,1170.47248,1513.844841,338.5185927,24.92885996,19,0,0,5.283064039,8281.136437,5350.953416,1204.049242,2254.505858,436.0053305,176.0013474,1943.976098,42.83045785,1461.946816,634.9939593,224.0145331,926.8696203,407.9275274,333.5112217,4368.914286,4313.018211,3919.302709,1634.487345,4121.769788,3708.9674,16256.34843,651.5136109,343.1283966,374.8815979,505.9025924,507.3782628,421.99486,325.7591447,331.6102791,625.9060146,788.8136014,927.7893879,1144.962077,575.3070909,353.7323365,240.084231,162.3729527,4857.260097,8281.136437,77.18907305,0.944448435
Collins View,3102,875,3411,965,2202,223.5228183,23.93123209,1496.674371,820.8713471,23.93123209,6.903560831,973.5038401,293.3644398,759.718017,1053.082457,0,40.65383929,46.48295682,545.8501342,0,0,0,0,0,0,0,0,0,6.64756447,0,0,0,1.994269341,0,1.237808219,10.4319548,14.98294406,7.670623145,78.13712345,3.323782235,0,4.722039487,0,4.538630137,0,0,0,0,0,0,0,0,0,0,0,9.971810089,1.994269341,0,0,0,20.04870534,49.09198813,81.82934572,177.863372,210.4845379,116.07893,92.60696942,81.48924599,76.69873533,1053.082457,740.3050438,86.85416667,120.8669872,5.466346154,7.895833333,16.39903846,6.073717949,0,0,0,0,26.72435897,9.110576923,35.8349359,534.4871795,438.5224359,549.0641026,222.7200361,210.150641,2033.129513,33.68769266,32.0165427,1.994269341,1.994269341,34.54868096,7.381065275,47.26062032,13.98493043,18.1713223,65.85037714,36.47466933,57.46616103,92.70802275,108.7167102,149.1610317,351.6660913,922.6965393,1053.082457,80.5,0.1226
Concordia,9558,4004,10242,4385,9881,655.0418664,293.4007081,5677.323536,3711.463908,182.6911236,10,4512.490536,1709.211754,3029.638219,4698.108751,40.74122234,466.6528979,138.4227972,2275.210694,0,0,0,4.857142857,0,28.03829524,0,8.038295244,0,0,0.157215048,0,0.157215048,1.501323919,5.08983717,30.69941376,61.26501527,153.8560923,192.8159438,393.6380028,380.1265844,31.70281175,43.50132392,0,57.1038961,0,0,0,0,0,0,6,4,0.056148231,0,0,0,18.86067724,0.112296463,0,31,35.29923274,75.70338616,396.8092544,673.7468511,1757.044998,291.6687203,4,0,20,4738.849973,2662.395741,120.6905826,324.6408114,56.75665264,0,150.0376326,65.93446222,42.16311818,0.437956204,18.31094844,90.41048035,8.196467997,43.91677276,230.4357439,1559.858666,1189.395796,689.40163,863.7142403,906.3449926,9339.214988,125.0370008,50.50797835,67.63471934,297.0274642,73.7880937,77.47338054,102.6393897,130.9570644,117.487515,169.5074449,497.1517034,584.0992314,522.3303575,671.7709798,508.2201207,743.2175297,3371.405461,4738.849973,80.00812092,0.191362266
Creston-Kenilworth,8227,3887,9046,4288,8990,1196.111357,771.6349535,3621.459152,2612.539814,228,0,3492.688728,2008.645295,1789.043433,3720.688728,77,585.8210962,462.6494312,1254.138573,0,0,47,11,20,24,0,0,0,48,25,29,32,78,131,130,224,594.7259566,455.4415719,172.262668,80.57290589,71,37,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,14,0,0,0,53,525.9524302,522.5398139,425.1933816,0,0,0,0,3797.688728,1811.740434,41.83296703,723.3450549,66,0,196.4483516,19.83296703,118.9978022,30.83296703,59.83956044,25.61758242,293,21,560.2879121,928.6593407,741.7164835,972.6571429,1344.069286,1103.769231,7550.520165,189,84,158.6349535,72,121.4415719,225.9451913,74,217,131.0910031,423.3391934,312.1933816,584.7042399,466.262668,305,283.0765253,150,1574.685626,3797.688728,77.74688255,0.383297293
